θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9448908573236318,0.9240101516719835,0.7921808143547273,0.9852217005738132,50,2,50
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.7962950296397628,0.7545093079998159,0.4188845401174167,0.9371586134453781,50,2,50
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.8931372549019608,0.8784012619210744,0.731401020986954,0.9772896879240163,50,2,50
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9543560606060606,0.9436144981765018,0.859548204104078,0.9875077160493828,50,2,50
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8714644462067143,0.864119962434263,0.7486290863771451,0.9512447434819176,50,2,50
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9360923356182378,0.9259365788884194,0.8361932129173508,0.9804959454113924,50,2,50
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9564029460679496,0.9428568886612103,0.8547012316638898,0.9888459065150115,60,2,60
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8172502783119118,0.784101533996968,0.48988016528925615,0.943672750790457,60,2,60
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9069798743750801,0.8953197978817211,0.7667385998715478,0.9830986959098993,60,2,60
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9636363636363636,0.9565308138142603,0.8962708384659603,0.9915715997291243,60,2,60
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8934751773049645,0.8858722322515263,0.7837418814163,0.9606923974901503,60,2,60
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.947972602739726,0.9396737817152517,0.8625850522009972,0.9846206085934439,60,2,60
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9603116561656165,0.9493125858206112,0.8725289575289575,0.9939430230448194,70,2,70
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8636363636363636,0.8212173570170698,0.5248230811105062,0.9529211956521739,70,2,70
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9246620258272801,0.9054203576306592,0.7579611466861202,0.9851133548596518,70,2,70
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9690081321636679,0.962966752701356,0.9099935622317596,0.9944149596523898,70,2,70
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9090909090909091,0.9033451925450477,0.8191529476685367,0.9661409810304187,70,2,70
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9569756363141418,0.9469917196899861,0.8809843383967114,0.9871808539718988,70,2,70
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9708029197080292,0.9573911360886321,0.8763898734721058,0.994568139317438,80,2,80
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8710394265232975,0.8383826570798494,0.6083453583453583,0.9665433782565478,80,2,80
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9348005307158223,0.9176191480496061,0.7902488529434637,0.9897812480634567,80,2,80
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9743589743589743,0.9686378471435821,0.9181060606060606,0.9948213099508436,80,2,80
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9263936472525429,0.9173339135696156,0.8343911355670298,0.9721379482934529,80,2,80
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9629629629629629,0.9570682172136391,0.9026495347806823,0.9916027280477409,80,2,80
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.975557546794106,0.9629266907616489,0.8841767068273092,1.0,90,2,90
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8805405405405405,0.8539069316451576,0.6278496560759909,0.966763826606876,90,2,90
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9423343370711792,0.9242420271051616,0.798488165988948,0.9888664067613797,90,2,90
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9796436341033876,0.9726933572946559,0.9249305555555556,1.0,90,2,90
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9288247213779128,0.9239138012902608,0.8466485986250661,0.9765106951871657,90,2,90
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9660056657223796,0.9593280407345777,0.9085908463417224,0.9914629796098912,90,2,90
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9770902220122815,0.9687409391404291,0.9105659422352977,1.0,100,2,100
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.899153687504445,0.8703505476869601,0.676672171758877,0.971965884582707,100,2,100
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9421222998751755,0.9279382560255764,0.8198302634397087,0.9900603821241286,100,2,100
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9805759919512042,0.9766350019169352,0.9421941432188411,1.0,100,2,100
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9393939393939394,0.9321796101956243,0.8643468180364566,0.9778113026819923,100,2,100
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9688040657439446,0.9633801616283215,0.9150367266220925,0.9928910372846379,100,2,100
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.8121631031903644,0.7795309015368032,0.5383903133903134,0.9100675059295749,10,3,10
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.6729415904292751,0.6672090668976894,0.4384319526627219,0.8605054442801452,10,3,10
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.843952922077922,0.8371958510216874,0.7531155801502677,0.9073795032616891,10,3,10
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.8121631031903644,0.779863696291727,0.5383903133903134,0.9109130371165196,10,3,10
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.6772208298524087,0.669866418646479,0.4410407239819004,0.867276158250911,10,3,10
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.843952922077922,0.8371958510216874,0.7531155801502677,0.9073795032616891,10,3,10
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9227864130982932,0.9071136351845074,0.7833866869080228,0.9700717377126934,20,3,20
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8574929971988795,0.8393060627631035,0.6656985372058511,0.9521213497176263,20,3,20
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9394956274150905,0.9340062838522382,0.8809925568806564,0.969470118168654,20,3,20
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9230769230769231,0.9077992573967114,0.7835206335261243,0.9700717377126934,20,3,20
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.860209572359105,0.8423506276250177,0.6699312714776632,0.9541479260369815,20,3,20
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9394956274150905,0.9340289535440515,0.8809925568806564,0.969470118168654,20,3,20
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.96,0.948476194451741,0.8707527837921435,0.9879518072289156,30,3,30
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9164728682170542,0.9024475282866813,0.7695675292449486,0.9791795267489711,30,3,30
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9674342852814181,0.9645512847380017,0.9304736492634582,0.9867122853089173,30,3,30
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9600531914893617,0.9492026631753495,0.8707527837921435,0.9879518072289156,30,3,30
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9210997924919826,0.9046221160636234,0.771474186530679,0.9818551797040169,30,3,30
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9674342852814181,0.9645595799661767,0.9304736492634582,0.9867122853089173,30,3,30
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9735566277416497,0.9659367673657923,0.9015098164746052,0.9946250934391352,40,3,40
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9464531744554087,0.9324739497312445,0.8285221674876848,0.9895860319516407,40,3,40
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9809782608695652,0.9789664722625468,0.9559185198703409,0.9943252644170234,40,3,40
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9738675165035284,0.9664821298741129,0.9103858350951373,0.9946524064171123,40,3,40
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9482906799083269,0.9343422716744877,0.8285221674876848,0.9899547488687217,40,3,40
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9809782608695652,0.9789664722625468,0.9559185198703409,0.9943252644170234,40,3,40
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9839989759344598,0.9790984890901036,0.9425434362934363,1.0,50,3,50
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9595667659251474,0.9507654335399486,0.8735125084516565,0.9943197868515665,50,3,50
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9867637268299521,0.9851982166511767,0.9687302215189874,0.9960046875,50,3,50
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9842431013690857,0.9792786691676869,0.9425434362934363,1.0,50,3,50
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9612570356472796,0.9519496277982065,0.8740545808966862,0.9948186528497409,50,3,50
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9867637268299521,0.9851982166511767,0.9687302215189874,0.9960046875,50,3,50
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9883494706361415,0.9825099928563849,0.9482620689655172,1.0,60,3,60
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9685986935929715,0.9602227320957828,0.9030007390983001,0.9948818997094859,60,3,60
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9907127886216027,0.9896963531846922,0.9765683128352671,1.0,60,3,60
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9884947161735831,0.98283295789957,0.9495720664847432,1.0,60,3,60
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9710796795717711,0.9618829552668873,0.9054054054054054,0.9953703703703703,60,3,60
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9907127886216027,0.9896963531846922,0.9765683128352671,1.0,60,3,60
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9897171556965372,0.9870716075657682,0.96457312026485,1.0,70,3,70
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9770771756978653,0.9681585716393681,0.9036144436603152,1.0,70,3,70
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9928951818480098,0.9921706408249809,0.981669126852146,1.0,70,3,70
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.989759320434167,0.987355095604712,0.9661107277049306,1.0,70,3,70
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9787414325525345,0.9692107459460949,0.9080571154636351,1.0,70,3,70
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9928951818480098,0.9921730446711347,0.981669126852146,1.0,70,3,70
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9928186483071608,0.9891915683963947,0.966657355679702,1.0,80,3,80
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9836065573770492,0.9759236122673918,0.932375696306994,1.0,80,3,80
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9946164101672319,0.9938493387330154,0.9847907050921235,1.0,80,3,80
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9928824721377913,0.9893317803220163,0.9674891774891775,1.0,80,3,80
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9846153846153847,0.9773659365212761,0.9339308176100629,1.0,80,3,80
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9946164101672319,0.9938493387330154,0.9847907050921235,1.0,80,3,80
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9941348469212246,0.992218502172134,0.9776013997807572,1.0,90,3,90
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9830508474576272,0.9755433177634387,0.9244045709703288,1.0,90,3,90
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9956379031490818,0.9950372456280389,0.9882306440362707,1.0,90,3,90
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9942028498454093,0.9923481245806289,0.9781384814495254,1.0,90,3,90
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.984375,0.9765746505623328,0.9254622157006602,1.0,90,3,90
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9956379031490818,0.995043075415352,0.9882306440362707,1.0,90,3,90
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9945944366526414,0.9934306940899789,0.9795918367346939,1.0,100,3,100
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9865765765765766,0.9806356841319563,0.941157120743034,1.0,100,3,100
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9962546816479401,0.9957372486766533,0.9889633996056524,1.0,100,3,100
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9947643979057592,0.9936793848463816,0.9796902517352118,1.0,100,3,100
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9873417721518988,0.9812463445529241,0.941157120743034,1.0,100,3,100
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9962546816479401,0.9957372486766533,0.9889633996056524,1.0,100,3,100
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.8710271490524565,0.8637185196783946,0.7949596517981954,0.9157358994326399,10,4,10
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8173076923076923,0.8020997154333047,0.6610169491525424,0.8875901875901876,10,4,10
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9253489048265168,0.9174092999460678,0.8782367149758454,0.9509812818049179,10,4,10
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.8710271490524565,0.8641248129117106,0.7963912665022487,0.9158478242782262,10,4,10
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8214285714285714,0.8080526923859067,0.67761135199054,0.8875901875901876,10,4,10
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9253489048265168,0.9174092999460678,0.8782367149758454,0.9509812818049179,10,4,10
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9508371864929241,0.9427504062275892,0.8842451913239207,0.9777777777777777,20,4,20
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9285714285714286,0.9113196909980814,0.833,0.976776189460209,20,4,20
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9801871156278623,0.9759772657377566,0.9657337375398212,0.9927404418011895,20,4,20
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9511532343584306,0.9432729536169225,0.8870457329522253,0.9779757415786827,20,4,20
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9347826086956522,0.9167745533444566,0.8432372505543237,0.979097037940185,20,4,20
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9801871156278623,0.9760062512450028,0.9657337375398212,0.9927404418011895,20,4,20
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9710796795717711,0.9651120205043485,0.9256009064521057,0.9913493598599982,30,4,30
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9652777777777778,0.9421472569673828,0.859910638896707,0.9919482846902202,30,4,30
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9915325934210903,0.9879395414600896,0.9789915966386554,1.0,30,4,30
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9713830755232029,0.9656206682554866,0.9265450071054729,0.9913493598599982,30,4,30
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9679144385026738,0.9478712927679144,0.8846428571428571,0.992351568576614,30,4,30
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9915325934210903,0.9879446828482644,0.9789915966386554,1.0,30,4,30
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9801980198019802,0.9767813287236552,0.945189299967641,0.9959024757443962,40,4,40
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9759900847408773,0.9546688848552899,0.8875348889136988,1.0,40,4,40
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9954954040947183,0.9927434999847635,0.9871240146147664,1.0,40,4,40
