parameter,find_zero_atol,xtol_rel,optimisation_calls,likelihood_calls
3,1.0e-11,0.01,32,666
1,1.0e-10,0.0,31,6099
2,1.0e-10,0.0,23,5426
3,1.0e-10,0.0,32,6635
1,1.0e-10,1.0e-20,31,3007
2,1.0e-10,1.0e-20,23,2660
3,1.0e-10,1.0e-20,32,2985
1,1.0e-10,1.0e-19,31,2938
2,1.0e-10,1.0e-19,23,2624
3,1.0e-10,1.0e-19,32,2935
1,1.0e-10,1.0e-18,31,2861
2,1.0e-10,1.0e-18,23,2560
3,1.0e-10,1.0e-18,32,2845
1,1.0e-10,1.0e-17,31,2752
2,1.0e-10,1.0e-17,23,2454
3,1.0e-10,1.0e-17,32,2744
1,1.0e-10,1.0e-16,31,2578
2,1.0e-10,1.0e-16,23,2335
3,1.0e-10,1.0e-16,32,2598
1,1.0e-10,1.0e-15,31,2428
2,1.0e-10,1.0e-15,23,2167
3,1.0e-10,1.0e-15,32,2356
1,1.0e-10,1.0e-14,31,2303
2,1.0e-10,1.0e-14,23,2050
3,1.0e-10,1.0e-14,32,2224
1,1.0e-10,1.0e-13,31,2179
2,1.0e-10,1.0e-13,23,1933
3,1.0e-10,1.0e-13,32,2094
