θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:λ1, :C02]","[1, 6]",ConvexHullMethod(),1.0,0.9978290340448694,0.9884903429247143,1.0,30,1,30
"[:λ1, :σ]","[1, 7]",ConvexHullMethod(),0.989331517421405,0.9880033262312391,0.9767504234895539,1.0,30,1,30
"[:λ2, :δ]","[2, 3]",ConvexHullMethod(),0.9904961849293421,0.9876380617986961,0.9641296809986131,1.0,30,1,30
"[:λ2, :K]","[2, 4]",ConvexHullMethod(),0.9940795235592923,0.9925214711532542,0.9756183456183456,1.0,30,1,30
"[:λ2, :C01]","[2, 5]",ConvexHullMethod(),0.9950369458128079,0.995488719394031,0.9878477795612628,1.0,30,1,30
"[:λ2, :C02]","[2, 6]",ConvexHullMethod(),1.0,0.9938949209755057,0.9784885327438518,1.0,30,1,30
"[:λ2, :σ]","[2, 7]",ConvexHullMethod(),0.9908400777965995,0.9899200731344227,0.9794908285895003,1.0,30,1,30
"[:δ, :K]","[3, 4]",ConvexHullMethod(),0.9925476507092199,0.9904315205701792,0.9763017751479289,1.0,30,1,30
"[:δ, :C01]","[3, 5]",ConvexHullMethod(),0.9936430416532128,0.9925768094201051,0.977540867093106,1.0,30,1,30
"[:δ, :C02]","[3, 6]",ConvexHullMethod(),0.993714705654831,0.9922102064708938,0.9783564814814815,1.0,30,1,30
"[:δ, :σ]","[3, 7]",ConvexHullMethod(),0.9934267241379311,0.9919737183160514,0.9807615091727241,1.0,30,1,30
"[:K, :C01]","[4, 5]",ConvexHullMethod(),0.9921210275154838,0.9919313118288864,0.9844810009267841,1.0,30,1,30
"[:K, :C02]","[4, 6]",ConvexHullMethod(),0.99307883896925,0.9933657240296148,0.9860963356973995,1.0,30,1,30
"[:K, :σ]","[4, 7]",ConvexHullMethod(),0.9934959009536557,0.9921208745836946,0.9807406702208682,1.0,30,1,30
"[:C01, :C02]","[5, 6]",ConvexHullMethod(),0.9941946557178434,0.99331460435053,0.9803264041932218,1.0,30,1,30
"[:C01, :σ]","[5, 7]",ConvexHullMethod(),0.9905826827224207,0.9904249193935314,0.9818870113176787,1.0,30,1,30
"[:C02, :σ]","[6, 7]",ConvexHullMethod(),0.9912669546108964,0.9907660473936011,0.9821371291098636,1.0,30,1,30
